timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1752172196988,63,HTTP Request,200,,Thread Group 1-4,text,true,,351,638,34,34,http://localhost:8081/transactions,63,0,0
1752172196991,62,HTTP Request,200,,Thread Group 1-15,text,true,,351,638,34,34,http://localhost:8081/transactions,62,0,0
1752172197015,39,HTTP Request,200,,Thread Group 1-18,text,true,,351,638,34,34,http://localhost:8081/transactions,39,0,0
1752172197045,12,HTTP Request,200,,Thread Group 1-11,text,true,,351,638,35,35,http://localhost:8081/transactions,12,0,0
1752172197041,16,HTTP Request,200,,Thread Group 1-6,text,true,,351,638,35,35,http://localhost:8081/transactions,16,0,0
1752172197025,32,HTTP Request,200,,Thread Group 1-32,text,true,,351,638,35,35,http://localhost:8081/transactions,32,0,2
1752172197031,26,HTTP Request,200,,Thread Group 1-24,text,true,,351,638,35,35,http://localhost:8081/transactions,26,0,0
1752172197043,15,HTTP Request,200,,Thread Group 1-8,text,true,,351,638,35,35,http://localhost:8081/transactions,15,0,0
1752172196999,59,HTTP Request,200,,Thread Group 1-28,text,true,,351,638,35,35,http://localhost:8081/transactions,59,0,2
1752172197012,48,HTTP Request,200,,Thread Group 1-20,text,true,,351,638,35,35,http://localhost:8081/transactions,48,0,0
1752172197036,24,HTTP Request,200,,Thread Group 1-26,text,true,,351,638,35,35,http://localhost:8081/transactions,24,0,0
1752172197057,4,HTTP Request,200,,Thread Group 1-11,text,true,,351,638,35,35,http://localhost:8081/transactions,4,0,0
1752172197029,33,HTTP Request,200,,Thread Group 1-3,text,true,,351,638,36,36,http://localhost:8081/transactions,33,0,0
1752172197002,60,HTTP Request,200,,Thread Group 1-29,text,true,,351,638,36,36,http://localhost:8081/transactions,60,0,2
1752172197057,9,HTTP Request,200,,Thread Group 1-24,text,true,,351,638,37,37,http://localhost:8081/transactions,9,0,0
1752172197008,58,HTTP Request,200,,Thread Group 1-12,text,true,,351,638,37,37,http://localhost:8081/transactions,58,0,0
